batch_size,vllm_fused_moe_triton,sglang_fused_moe_triton
136.000000,0.582272,0.386144
137.000000,0.582864,0.387088
138.000000,0.583568,0.386688
139.000000,0.582960,0.387456
140.000000,0.583376,0.386368
141.000000,0.584192,0.387872
142.000000,0.584928,0.387136
143.000000,0.585584,0.387872
144.000000,0.584720,0.386720
145.000000,0.584640,0.388000
146.000000,0.585856,0.387440
147.000000,0.585808,0.388000
148.000000,0.586656,0.387712
149.000000,0.588096,0.388016
150.000000,0.587136,0.388624
151.000000,0.587328,0.388064
152.000000,0.587616,0.388288
153.000000,0.588064,0.388672
154.000000,0.587872,0.389184
155.000000,0.588736,0.389440
156.000000,0.589568,0.389120
157.000000,0.589664,0.388848
158.000000,0.588960,0.389024
159.000000,0.589600,0.389312
160.000000,0.589408,0.389056
161.000000,0.590848,0.389984
162.000000,0.591728,0.390016
163.000000,0.591936,0.390240
164.000000,0.591648,0.389904
165.000000,0.592080,0.390112
166.000000,0.593248,0.390064
167.000000,0.595200,0.390432
168.000000,0.595584,0.391232
169.000000,0.595232,0.390960
170.000000,0.595936,0.391360
171.000000,0.594752,0.391360
172.000000,0.594896,0.390720
173.000000,0.596928,0.391360
174.000000,0.597536,0.391408
175.000000,0.597248,0.391936
176.000000,0.597344,0.391760
177.000000,0.598944,0.391968
178.000000,0.599104,0.392224
179.000000,0.599136,0.391680
180.000000,0.598912,0.392064
181.000000,0.600544,0.392016
182.000000,0.601472,0.392240
183.000000,0.602064,0.391808
184.000000,0.601536,0.392736
185.000000,0.601856,0.392720
186.000000,0.603312,0.393216
187.000000,0.602352,0.392736
188.000000,0.604544,0.393280
189.000000,0.603856,0.392928
190.000000,0.604448,0.393216
191.000000,0.603856,0.392928
192.000000,0.604944,0.393312
193.000000,0.605888,0.409952
194.000000,0.606688,0.410944
195.000000,0.607136,0.410176
196.000000,0.607776,0.410208
197.000000,0.608704,0.409888
198.000000,0.609088,0.410640
199.000000,0.609744,0.410272
200.000000,0.610592,0.411072
201.000000,0.610128,0.410784
202.000000,0.610864,0.411168
203.000000,0.611024,0.410944
204.000000,0.610688,0.411424
205.000000,0.611408,0.410880
206.000000,0.612976,0.411264
207.000000,0.611504,0.410848
208.000000,0.613152,0.411600
209.000000,0.613024,0.411264
210.000000,0.613840,0.412192
211.000000,0.612464,0.411088
212.000000,0.613360,0.411648
213.000000,0.614656,0.411600
214.000000,0.613840,0.412000
215.000000,0.615808,0.412288
216.000000,0.640672,0.411728
217.000000,0.640640,0.412416
218.000000,0.639680,0.412256
219.000000,0.642400,0.413072
220.000000,0.641744,0.412240
221.000000,0.643584,0.412832
222.000000,0.642112,0.412944
223.000000,0.643776,0.413312
224.000000,0.644384,0.412512
225.000000,0.645568,0.413744
226.000000,0.643872,0.413760
227.000000,0.645280,0.413728
228.000000,0.644960,0.414304
229.000000,0.649760,0.413664
230.000000,0.649344,0.413856
231.000000,0.650192,0.414496
232.000000,0.652864,0.413760
233.000000,0.652176,0.413856
234.000000,0.652160,0.414144
